,Sistema,Ano de lançamento,Editora,Gênero principal,Tipo de dado usado,"Tipo de mecânica (narrativa, tática, híbrida)",Nível de complexidade (baixa/média/alta),Foco narrativo (baixa/média/alta),Estilo de criação de personagem,Sistema de combate,Sistema de progressão
0,Dungeons & Dragons 1ª Edição,1974,TSR,Fantasia,D20,Tática,Alta,Baixa,Classes rígidas,Grid e iniciativa,Níveis
1,Dungeons & Dragons 2ª Edição,1989,TSR,Fantasia,D20,Tática,Alta,Baixa,Classes rígidas,Grid e iniciativa,Níveis
2,Dungeons & Dragons 3ª Edição,2000,Wizards of the Coast,Fantasia,D20,Híbrida,Alta,Média,Multiclasse flexível,Grid e ataques por rodada,Níveis e talentos
3,Dungeons & Dragons 3.5,2003,Wizards of the Coast,Fantasia,D20,Híbrida,Alta,Média,Multiclasse flexível,Grid e ataques por rodada,Níveis e talentos
4,Dungeons & Dragons 4ª Edição,2008,Wizards of the Coast,Fantasia,D20,Tática,Alta,Baixa,Poderes por função,Estilo MMORPG,Poderes por nível
5,Dungeons & Dragons 5ª Edição,2014,Wizards of the Coast,Fantasia,D20,Híbrida,Média,Média,Classes com subclasses,Simplificado com grid opcional,Níveis com arquétipos
6,Pathfinder 1ª Edição,2009,Paizo,Fantasia,D20,Tática,Alta,Média,Multiclasse com talentos,Similar ao D&D 3.5,Níveis e talentos
7,Pathfinder 2ª Edição,2019,Paizo,Fantasia,D20,Tática,Alta,Média,Sistema de feats modular,Ações por turno,Níveis e feats
8,Tormenta20,2020,Jambô,Fantasia,D20,Híbrida,Média,Média,Classes com caminhos,Estilo D&D 5e,Níveis
9,Tormenta RPG (3D&T base),2005,Jambô,Fantasia,D6,Híbrida,Média,Média,Tipos com perícias,Simplificado,Níveis
10,Call of Cthulhu,1981,Chaosium,Horror,D100,Narrativa,Alta,Alta,Perícias percentuais,Sanidade e investigação,Uso de perícias
11,GURPS,1986,Steve Jackson Games,Genérico,3d6,Híbrida,Alta,Média,Pontos em perícias e vantagens,Determinístico,Por experiência
12,Savage Worlds,2003,Pinnacle,Genérico,Poliédricos,Híbrida,Média,Média,Atributos e vantagens,Cartas e dados,Avanço por pontos
13,Shadowrun,1989,Catalyst Game Labs,Cyberpunk/Fantasia,D6,Híbrida,Alta,Média,Perícias e arquétipos,Ações complexas,Por karma
